2024-2025,75
2023-2024,74
2022-2023,73
2021-2022,72
2020-2021,71
2019-2020,70
2018-2019,69
2017-2018,68
2016-2017,67
2015-2016,66
2014-2015,65
2013-2014,64
2012-2013,63
2011-2012,62
2010-2011,61
2009-2010,60
2008-2009,59
2007-2008,58
2006-2007,57
2005-2006,56
2004-2005,55
2003-2004,54
2002-2003,53
2001-2002,52
2000-2001,51
1999-2000,50
1998-1999,49
1997-1998,48
1996-1997,47
1995-1996,46
1994-1995,45
1993-1994,44
1992-1993,43
1991-1992,42
1990-1991,41
1989-1990,40
1988-1989,39
1987-1988,38
1986-1987,37
1985-1986,36
1984-1985,35
1983-1984,34
1982-1983,33
1981-1982,32
1980-1981,31
1979-1980,30
1978-1979,29
1977-1978,28
1976-1977,27
1975-1976,26
1974-1975,25
1973-1974,24
1972-1973,23
1971-1972,22
1970-1971,21
1969-1970,20
1968-1969,19
1967-1968,18
1966-1967,17
1965-1966,16
1964-1965,15
1963-1964,14
1962-1963,13
1961-1962,12
1960-1961,11
1959-1960,10
1958-1959,9
1957-1958,8
1956-1957,7
1955-1956,6
1954-1955,5
1953-1954,4
1952-1953,3
1951-1952,2
1950-1951,1
1949-1950,0
